Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type,Account Currency
Dépôts et cautionnements versés,Autres immobilisations financières,275,27,1,Fixed Asset,Asset,
Dépôts pour loyers d’avance,Dépôts et cautionnements versés,27510000,275,0,Fixed Asset,Asset,
Dépôts pour l’électricité,Dépôts et cautionnements versés,27520000,275,0,Fixed Asset,Asset,
Dépôts pour l’eau,Dépôts et cautionnements versés,27530000,275,0,Fixed Asset,Asset,
Dépôts pour le gaz,Dépôts et cautionnements versés,27540000,275,0,Fixed Asset,Asset,
"Dépôts pour le téléphone, le télex, la télécopie",Dépôts et cautionnements versés,27550000,275,0,Fixed Asset,Asset,
Cautionnements sur marchés publics,Dépôts et cautionnements versés,27560000,275,0,Fixed Asset,Asset,
Cautionnements sur autres opérations,Dépôts et cautionnements versés,27570000,275,0,Fixed Asset,Asset,
Autres dépôts et cautionnements,Dépôts et cautionnements versés,27580000,275,0,Fixed Asset,Asset,
Intérêts courus,Autres immobilisations financières,276,27,1,Fixed Asset,Asset,
Prêts et créances non commerciales,Intérêts courus,27610000,276,0,Fixed Asset,Asset,
Prêts au personnel,Intérêts courus,27620000,276,0,Fixed Asset,Asset,
Créances sur l’État,Intérêts courus,27630000,276,0,Fixed Asset,Asset,
Titres immobilisés,Intérêts courus,27640000,276,0,Fixed Asset,Asset,
Dépôts et cautionnements versés,Intérêts courus,27650000,276,0,Fixed Asset,Asset,
Créances rattachées à des participations,Intérêts courus,27670000,276,0,Fixed Asset,Asset,
Immobilisations financières diverses,Intérêts courus,27680000,276,0,Fixed Asset,Asset,
Créances rattachées à des participations et avances à des GIE,Autres immobilisations financières,277,27,1,Fixed Asset,Asset,
"Créances rattachées à des participations (groupe)"",",Créances rattachées à des participations et avances à des GIE,27710000,277,0,Fixed Asset,Asset,
Créances rattachées à des participations (hors groupe),Créances rattachées à des participations et avances à des GIE,27720000,277,0,Fixed Asset,Asset,
Créances rattachées à des sociétés en participation,Créances rattachées à des participations et avances à des GIE,27730000,277,0,Fixed Asset,Asset,
Avances à des Groupements d’intérêt économique (GIE),Créances rattachées à des participations et avances à des GIE,27740000,277,0,Fixed Asset,Asset,
mmobilisations financières diverses,Autres immobilisations financières,278,27,1,Fixed Asset,Asset,
Créances diverses groupe,mmobilisations financières diverses,27810000,278,0,Fixed Asset,Asset,
Créances divers hors groupe,mmobilisations financières diverses,27820000,278,0,Fixed Asset,Asset,
Or et métaux précieux [1],mmobilisations financières diverses,27850000,278,0,Fixed Asset,Asset,
AMORTISSEMENTS,Comptes d’actif immobilisé,28,Classe 2,1,Accumulated Depreciation,Asset,
Amortissements des immobilisations incorporelles,AMORTISSEMENTS,281,28,1,Accumulated Depreciation,Asset,
Amortissements des frais de recherche et de développement,AMORTISSEMENTS,28100,28,0,Accumulated Depreciation,Asset,
"Amortissements des brevets, licences, concessions et droits similaires",Amortissements des immobilisations incorporelles,28110000,281,0,Accumulated Depreciation,Asset,
Amortissements des logiciels,Amortissements des immobilisations incorporelles,28120000,281,0,Accumulated Depreciation,Asset,
Amortissements des marques,Amortissements des immobilisations incorporelles,28130000,281,0,Accumulated Depreciation,Asset,
Amortissements du fonds commercial,Amortissements des immobilisations incorporelles,28140000,281,0,Accumulated Depreciation,Asset,
Amortissements du droit au bail,Amortissements des immobilisations incorporelles,28150000,281,0,Accumulated Depreciation,Asset,
Amortissements des investissements de création,Amortissements des immobilisations incorporelles,28160000,281,0,Accumulated Depreciation,Asset,
Amortissements des autres droits et valeurs incorporels,Amortissements des immobilisations incorporelles,28170000,281,0,Accumulated Depreciation,Asset,
Amortissements des terrains,Amortissements des immobilisations incorporelles,28180000,281,0,Accumulated Depreciation,Asset,
Amortissements des terrains agricoles et forestiers,AMORTISSEMENTS,282,28,1,Accumulated Depreciation,Asset,
Amortissements des travaux de mise en valeur des terrains,Amortissements des terrains agricoles et forestiers,28210000,282,0,Accumulated Depreciation,Asset,
Amortissements des terrains de gisement,Amortissements des terrains agricoles et forestiers,28240000,282,0,Accumulated Depreciation,Asset,
"Amortissements des bâtiments, installations techniques et agencements",Amortissements des terrains agricoles et forestiers,28250000,282,0,Accumulated Depreciation,Asset,
"Amortissements des bâtiments industriels, agricoles, administratifs et commer-",AMORTISSEMENTS,283,28,1,Accumulated Depreciation,Asset,
sol propre,"Amortissements des bâtiments industriels, agricoles, administratifs et commer-",28310000,283,0,Accumulated Depreciation,Asset,
"Amortissements des bâtiments industriels, agricoles, administratifs et commer- ciaux sur sol d’autrui","Amortissements des bâtiments industriels, agricoles, administratifs et commer-",28320000,283,0,Accumulated Depreciation,Asset,
Amortissements des ouvrages d’infrastructure,"Amortissements des bâtiments industriels, agricoles, administratifs et commer-",28330000,283,0,Accumulated Depreciation,Asset,
Amortissements des installations techniques,"Amortissements des bâtiments industriels, agricoles, administratifs et commer-",28340000,283,0,Accumulated Depreciation,Asset,
Amortissements des aménagements de bureaux,"Amortissements des bâtiments industriels, agricoles, administratifs et commer-",28350000,283,0,Accumulated Depreciation,Asset,
"Amortissements  des  bâtiments  industriels,  agricoles  et  commerciaux  mis  en concession","Amortissements des bâtiments industriels, agricoles, administratifs et commer-",28370000,283,0,Accumulated Depreciation,Asset,
Amortissements des autres installations et agencements,"Amortissements des bâtiments industriels, agricoles, administratifs et commer-",28380000,283,0,Accumulated Depreciation,Asset,
Amortissements du matériel,AMORTISSEMENTS,284,28,1,Accumulated Depreciation,Asset,
Amortissements du matériel et outillage industriel et commercial,Amortissements du matériel,28410000,284,0,Accumulated Depreciation,Asset,
Amortissements du matériel et outillage agricole,Amortissements du matériel,28420000,284,0,Accumulated Depreciation,Asset,
Amortissements du matériel d’emballage récupérable et identifiable,Amortissements du matériel,28430000,284,0,Accumulated Depreciation,Asset,
Amortissements du matériel et mobilier,Amortissements du matériel,28440000,284,0,Accumulated Depreciation,Asset,
Amortissements du matériel de transport,Amortissements du matériel,28450000,284,0,Accumulated Depreciation,Asset,
Amortissements des immobilisations animales et agricoles,Amortissements du matériel,28460000,284,0,Accumulated Depreciation,Asset,
Amortissements des agencements et aménagements du matériel,Amortissements du matériel,28470000,284,0,Accumulated Depreciation,Asset,
Amortissements des autres matériels,Amortissements du matériel,28480000,284,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation,Comptes d’actif immobilisé,29,Classe 2,1,Accumulated Depreciation,Asset,
Provisions pour dépréciation des immobilisations incorporelles,Provisions pour dépréciation,291,29,1,Accumulated Depreciation,Asset,
"Provisions pour dépréciation des brevets, licences, concessions et droits similaires",Provisions pour dépréciation des immobilisations incorporelles,29120000,291,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des logiciels,Provisions pour dépréciation des immobilisations incorporelles,29130000,291,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des marques,Provisions pour dépréciation des immobilisations incorporelles,29140000,291,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation du fonds commercial,Provisions pour dépréciation des immobilisations incorporelles,29150000,291,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation du droit au bail,Provisions pour dépréciation des immobilisations incorporelles,29160000,291,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des investissements de création,Provisions pour dépréciation des immobilisations incorporelles,29170000,291,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des autres droits et valeurs incorporels,Provisions pour dépréciation des immobilisations incorporelles,29180000,291,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des immobilisations incorporelles en cours,Provisions pour dépréciation des immobilisations incorporelles,29190000,291,0,Accumulated Depreciation,Asset,
rovisions pour dépréciation des terrains,Provisions pour dépréciation,292,29,1,Accumulated Depreciation,Asset,
Provisions pour dépréciation des terrains agricoles et forestiers,rovisions pour dépréciation des terrains,29210000,292,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des terrains nus,rovisions pour dépréciation des terrains,29220000,292,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des terrains bâtis,rovisions pour dépréciation des terrains,29230000,292,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des travaux de mise en valeur des terrains,rovisions pour dépréciation des terrains,29240000,292,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des terrains de gisement,rovisions pour dépréciation des terrains,29250000,292,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des terrains aménagés,rovisions pour dépréciation des terrains,29260000,292,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des terrains mis en concession,rovisions pour dépréciation des terrains,29270000,292,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des autres terrains,rovisions pour dépréciation des terrains,29280000,292,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des aménagements de terrains en cours,rovisions pour dépréciation des terrains,29290000,292,0,Accumulated Depreciation,Asset,
"rovisions pour dépréciation des bâtiments, installations techniques et agencements",Provisions pour dépréciation,293,29,1,Accumulated Depreciation,Asset,
"Provisions pour dépréciation des bâtiments industriels, agricoles, administratifs et commerciaux sur sol propre","rovisions pour dépréciation des bâtiments, installations techniques et agencements",29310000,293,0,Accumulated Depreciation,Asset,
"Provisions pour dépréciation des bâtiments industriels, agricoles, administratifs et commerciaux sur sol d’autrui","rovisions pour dépréciation des bâtiments, installations techniques et agencements",29320000,293,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des ouvrages d’infrastructures,"rovisions pour dépréciation des bâtiments, installations techniques et agencements",29330000,293,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des installations techniques,"rovisions pour dépréciation des bâtiments, installations techniques et agencements",29340000,293,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des aménagements de bureaux,"rovisions pour dépréciation des bâtiments, installations techniques et agencements",29350000,293,0,Accumulated Depreciation,Asset,
"Provisions pour dépréciation des bâtiments industriels, agricoles et commer- ciaux mis en concession","rovisions pour dépréciation des bâtiments, installations techniques et agencements",29370000,293,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des autres installations et agencements,"rovisions pour dépréciation des bâtiments, installations techniques et agencements",29380000,293,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des bâtiments et installations en cours,"rovisions pour dépréciation des bâtiments, installations techniques et agencements",29390000,293,0,Accumulated Depreciation,Asset,
rovisions pour dépréciation de matériel,Provisions pour dépréciation,294,29,1,Accumulated Depreciation,Asset,
Provisions pour dépréciation du matériel et outillage industriel et commercial,rovisions pour dépréciation de matériel,29410000,294,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation du matériel et outillage agricole,rovisions pour dépréciation de matériel,29420000,294,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation du matériel d’emballage récupérable et identifiable,rovisions pour dépréciation de matériel,29430000,294,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation du matériel et mobilier,rovisions pour dépréciation de matériel,29440000,294,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation du matériel de transport,rovisions pour dépréciation de matériel,29450000,294,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des immobilisations animales et agricoles,rovisions pour dépréciation de matériel,29460000,294,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des agencements et aménagements du matériel,rovisions pour dépréciation de matériel,29470000,294,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des autres matériels,rovisions pour dépréciation de matériel,29480000,294,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation de matériel en cours,rovisions pour dépréciation de matériel,29490000,294,0,Accumulated Depreciation,Asset,
rovisions pour dépréciation des avances et acomptes versés sur immobilisations,Provisions pour dépréciation,295,29,1,Accumulated Depreciation,Asset,
Provisions pour dépréciation des avances et acomptes versés sur immobilisations incorporelles,rovisions pour dépréciation des avances et acomptes versés sur immobilisations,29510000,295,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des avances et acomptes versés sur immobilisa- tions corporelles,rovisions pour dépréciation des avances et acomptes versés sur immobilisations,29520000,295,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des titres de participation,Provisions pour dépréciation,296,29,1,Accumulated Depreciation,Asset,
Provisions pour dépréciation des titres de participation dans des sociétés sous contrôle exclusif,Provisions pour dépréciation des titres de participation,29610000,296,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des titres de participation dans les sociétés sous contrôle conjoint,Provisions pour dépréciation des titres de participation,29620000,296,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des titres de participation dans les sociétés confé- rant une influence notable,Provisions pour dépréciation des titres de participation,29630000,296,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des participations dans des organismes profession- nels,Provisions pour dépréciation des titres de participation,29650000,296,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des parts dans des GIE,Provisions pour dépréciation des titres de participation,29660000,296,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des autres titres de participation,Provisions pour dépréciation des titres de participation,29680000,296,0,Accumulated Depreciation,Asset,
rovisions pour dépréciation des autres immobilisations financières,Provisions pour dépréciation,297,29,1,Accumulated Depreciation,Asset,
Provisions pour dépréciation des prêts et créances non commerciales,rovisions pour dépréciation des autres immobilisations financières,29710000,297,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des prêts au personnel,rovisions pour dépréciation des autres immobilisations financières,29720000,297,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des créances sur l’État,rovisions pour dépréciation des autres immobilisations financières,29730000,297,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des titres immobilisés,rovisions pour dépréciation des autres immobilisations financières,29740000,297,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des dépôts et cautionnements versés,rovisions pour dépréciation des autres immobilisations financières,29750000,297,0,Accumulated Depreciation,Asset,
Provisions  pour  dépréciation  des  créances  rattachées  à  des  participations  et avances à des GIE,rovisions pour dépréciation des autres immobilisations financières,29770000,297,0,Accumulated Depreciation,Asset,
Provisions pour dépréciation des créances financières diverses,rovisions pour dépréciation des autres immobilisations financières,29780000,297,0,Accumulated Depreciation,Asset,
Comptes de stocks,,Classe 3,,1,,Asset,
MARCHANDISES,Comptes de stocks,31,Classe 3,1,Stock,Asset,
Marchandises A,MARCHANDISES,311,31,1,Stock,Asset,
Marchandises A1,Marchandises A,31110000,311,0,Stock,Asset,
Marchandises A2,Marchandises A,31120000,311,0,Stock,Asset,
Marchandises B,MARCHANDISES,312,31,1,Stock,Asset,
Marchandises B1,Marchandises B,31210000,312,0,Stock,Asset,
Marchandises B2,Marchandises B,31220000,312,0,Stock,Asset,
Marchandises hors activités ordinaires (HAO),MARCHANDISES,31800000,31,0,Stock,Asset,
Matières premières et fournitures liées,Comptes de stocks,32,Classe 3,1,Stock,Asset,
Matières A,Matières premières et fournitures liées,32100000,32,0,Stock,Asset,
Matières B,Matières premières et fournitures liées,32200000,32,0,Stock,Asset,
"Fournitures (A, B)",Matières premières et fournitures liées,32300000,32,0,Stock,Asset,
Autres approvisionnements,Comptes de stocks,33,Classe 3,1,Stock,Asset,
Matières consommables,Autres approvisionnements,33100000,33,0,Stock,Asset,
Fournitures d’atelier et d’usine,Autres approvisionnements,33200000,33,0,Stock,Asset,
Fournitures de magasin,Autres approvisionnements,33300000,33,0,Stock,Asset,
Fournitures de bureau,Autres approvisionnements,33400000,33,0,Stock,Asset,
Emballages,Autres approvisionnements,335,33,1,Stock,Asset,
Emballages perdus,Emballages,33510000,335,0,Stock,Asset,
Emballages récupérables non identifiables,Emballages,33520000,335,0,Stock,Asset,
Emballages à usage mixte,Emballages,33530000,335,0,Stock,Asset,
Autres emballages,Emballages,33580000,335,0,Stock,Asset,
"Autres matières"",",Autres approvisionnements,33800000,33,0,Stock,Asset,
Produits en cours,Comptes de stocks,34,Classe 3,1,Stock,Asset,
Produits en cours,Produits en cours,341,34,1,Stock,Asset,
Produits en cours P1,Produits en cours,34110000,341,0,Stock,Asset,
Produits en cours P2,Produits en cours,34120000,341,0,Stock,Asset,
Travaux en cours,Produits en cours,342,34,1,Stock,Asset,
Travaux en cours T1,Travaux en cours,34210000,342,0,Stock,Asset,
Travaux en cours T2,Travaux en cours,34220000,342,0,Stock,Asset,
Produits intermédiaires en cours,Produits en cours,343,34,1,Stock,Asset,
Produits intermédiaires A,Produits intermédiaires en cours,34310000,343,0,Stock,Asset,
Produits intermédiaires B,Produits intermédiaires en cours,34320000,343,0,Stock,Asset,
Produits résiduels en cours,Produits en cours,344,34,1,Stock,Asset,
Produits résiduels A,Produits résiduels en cours,34410000,344,0,Stock,Asset,
Produits résiduels B,Produits résiduels en cours,34420000,344,0,Stock,Asset,
Services en cours,Comptes de stocks,35,Classe 3,1,Stock,Asset,
Études en cours,Services en cours,351,35,1,Stock,Asset,
Études en cours E1,Études en cours,35110000,351,0,Stock,Asset,
Études en cours E2,Études en cours,35120000,351,0,Stock,Asset,
Prestations de services en cours,Services en cours,352,35,1,Stock,Asset,
Prestations de services S1,Prestations de services en cours,35210000,352,0,Stock,Asset,
Prestations de services S2,Prestations de services en cours,35220000,352,0,Stock,Asset,
Produits finis,Comptes de stocks,36,Classe 3,1,Stock,Asset,
Produits finis A,Produits finis,36100000,36,0,Stock,Asset,
Produits finis B,Produits finis,36200000,36,0,Stock,Asset,
Produits intermédiaires et résiduels,Comptes de stocks,37,Classe 3,1,Stock,Asset,
Produits intermédiaires,Produits intermédiaires et résiduels,371,37,1,Stock,Asset,
Produits intermédiaires A,Produits intermédiaires,37110000,371,0,Stock,Asset,
Produits intermédiaires B,Produits intermédiaires,37120000,371,0,Stock,Asset,
Produits résiduels,Produits intermédiaires et résiduels,372,37,1,Stock,Asset,
Déchets,Produits résiduels,37210000,372,0,Stock,Asset,
Rebuts,Produits résiduels,37220000,372,0,Stock,Asset,
Matières de Récupération,Produits résiduels,37230000,372,0,Stock,Asset,
"Stocks en cours de route, en consignation ou en dépôt",Comptes de stocks,38,Classe 3,1,Stock,Asset,
Marchandises en cours de route,"Stocks en cours de route, en consignation ou en dépôt",38100000,38,0,Stock,Asset,
Matières premières et fournitures liées en cours de route,"Stocks en cours de route, en consignation ou en dépôt",38200000,38,0,Stock,Asset,
Autres approvisionnements en cours de route,"Stocks en cours de route, en consignation ou en dépôt",38300000,38,0,Stock,Asset,
Produits finis en cours de route,"Stocks en cours de route, en consignation ou en dépôt",38600000,38,0,Stock,Asset,
Stock en consignation ou en dépôt,"Stocks en cours de route, en consignation ou en dépôt",387,38,1,Stock,Asset,
Stock en consignation,Stock en consignation ou en dépôt,38710000,387,0,Stock,Asset,
Stock en dépôt,Stock en consignation ou en dépôt,38720000,387,0,Stock,Asset,
Stock provenant d’immobilisa-tions mises hors service ou au rebut,"Stocks en cours de route, en consignation ou en dépôt",38800000,38,0,Stock,Asset,
Dépréciations des stocks,Comptes de stocks,39,Classe 3,1,Stock,Asset,
Dépréciations des stocks de marchandises,Dépréciations des stocks,39100000,39,0,Stock,Asset,
Dépréciations des stocks de matières premières et fournitures liées,Dépréciations des stocks,39200000,39,0,Stock,Asset,
Dépréciations des stocks d’au-tres approvisionnements,Dépréciations des stocks,39300000,39,0,Stock,Asset,
Dépréciations des productions en cours,Dépréciations des stocks,39400000,39,0,Stock,Asset,
Dépréciations des services en cours,Dépréciations des stocks,39500000,39,0,Stock,Asset,
Dépréciations des stocks de produits finis,Dépréciations des stocks,39600000,39,0,Stock,Asset,
Dépréciations des stocks de produits intermédiaires et résiduels,Dépréciations des stocks,39700000,39,0,Stock,Asset,
"Dépréciations des stocks en cours de route, en consignation ou en dépôt",Dépréciations des stocks,39800000,39,0,Stock,Asset,
Comptes de tiers,,Classe 4,,1,,Liability,
Fournisseurs et comptes rattachés,Comptes de tiers,40,Classe 4,1,Payable,Liability,
"Fournisseurs, dettes en compte",Fournisseurs et comptes rattachés,401,40,1,Payable,Liability,
Fournisseurs,"Fournisseurs, dettes en compte",40110000,401,0,Payable,Liability,
Fournisseurs Groupe,"Fournisseurs, dettes en compte",40120000,401,0,Payable,Liability,
Fournisseurs sous-traitants,"Fournisseurs, dettes en compte",40130000,401,0,Payable,Liability,
"Fournisseur, retenues de garantie","Fournisseurs, dettes en compte",40170000,401,0,Payable,Liability,
"Fournisseurs, effets à payer",Fournisseurs et comptes rattachés,402,40,1,Payable,Liability,
"Fournisseurs, Effets à payer","Fournisseurs, effets à payer",40210000,402,0,Payable,Liability,
"Fournisseurs - Groupe, Effets à payer","Fournisseurs, effets à payer",40220000,402,0,Payable,Liability,
"Fournisseurs sous-traitants, Effets à payer","Fournisseurs, effets à payer",40230000,402,0,Payable,Liability,
"Fournisseurs, factures non parvenues",Fournisseurs et comptes rattachés,408,40,1,Payable,Liability,
Fournisseurs,"Fournisseurs, factures non parvenues",40810000,408,0,Stock Received But Not Billed,Liability,
Fournisseurs - Groupe,"Fournisseurs, factures non parvenues",40820000,408,0,Stock Received But Not Billed,Liability,
Fournisseurs sous-traitants,"Fournisseurs, factures non parvenues",40830000,408,0,Stock Received But Not Billed,Liability,
"Fournisseurs, intérêts courus","Fournisseurs, factures non parvenues",40860000,408,0,Stock Received But Not Billed,Liability,
Fournisseurs débiteurs,Fournisseurs et comptes rattachés,409,40,1,Payable,Liability,
Fournisseurs avances et acomptes versés,Fournisseurs débiteurs,40910000,409,0,Payable,Liability,
Fournisseurs - Groupe avances et acomptes versés,Fournisseurs débiteurs,40920000,409,0,Payable,Liability,
Fournisseurs sous-traitants avances et acomptes versés,Fournisseurs débiteurs,40930000,409,0,Payable,Liability,
Fournisseurs créances pour emballages et matériels à rendre,Fournisseurs débiteurs,40940000,409,0,Payable,Liability,
"Rabais, Remises, Ristournes et autres avoirs à obtenir",Fournisseurs débiteurs,40980000,409,0,Payable,Liability,
Clients et comptes rattachés,Comptes de tiers,41,Classe 4,1,Receivable,Asset,
CLIENTS,Clients et comptes rattachés,411,41,1,Receivable,Asset,
Clients,Clients et comptes rattachés,41100,41,0,Receivable,Asset,
Clients,CLIENTS,41110000,411,0,Receivable,Asset,
Clients - Groupe,CLIENTS,41120000,411,0,Receivable,Asset,
"Clients, État et Collectivités publiques",CLIENTS,41140000,411,0,Receivable,Asset,
"Clients, organismes internationaux",CLIENTS,41150000,411,0,Receivable,Asset,
"Client, retenues de garantie",CLIENTS,41170000,411,0,Receivable,Asset,
"Clients, dégrèvement de taxes sur la valeur ajoutée (TVA)",CLIENTS,41180000,411,0,Receivable,Asset,
"Clients, effets à recevoir en portefeuille",Clients et comptes rattachés,412,41,1,Receivable,Asset,
"Clients, Effets à recevoir","Clients, effets à recevoir en portefeuille",41210000,412,0,Receivable,Asset,
"Clients - Groupe, Effets à recevoir","Clients, effets à recevoir en portefeuille",41220000,412,0,Receivable,Asset,
"État et Collectivités publiques, Effets à recevoir","Clients, effets à recevoir en portefeuille",41240000,412,0,Receivable,Asset,
"Organismes Internationaux, Effets à recevoir","Clients, effets à recevoir en portefeuille",41250000,412,0,Receivable,Asset,
"Créances sur cessions d’immobi-lisations"",",Clients et comptes rattachés,414,41,1,Receivable,Asset,
Créances en compte,"Créances sur cessions d’immobi-lisations"",",41410000,414,0,Receivable,Asset,
Effets à recevoir,"Créances sur cessions d’immobi-lisations"",",41420000,414,0,Receivable,Asset,
"lients, effets escomptés non échus",Clients et comptes rattachés,41500000,41,0,Receivable,Asset,
réances clients litigieuses ou douteuses,Clients et comptes rattachés,416,41,1,Receivable,Asset,
Créances litigieuses,réances clients litigieuses ou douteuses,41610000,416,0,Receivable,Asset,
Créances douteuses,réances clients litigieuses ou douteuses,41620000,416,0,Receivable,Asset,
"Clients, produits à recevoir",Clients et comptes rattachés,418,41,1,Receivable,Asset,
"Clients, factures à établir","Clients, produits à recevoir",41810000,418,0,Receivable,Asset,
"Clients, intérêts courus","Clients, produits à recevoir",41860000,418,0,Receivable,Asset,
Clients créditeurs,Clients et comptes rattachés,419,41,1,Receivable,Asset,
"Clients, avances et acomptes reçus",Clients et comptes rattachés,41900,41,0,Receivable,Asset,
"Clients, avances et acomptes reçus",Clients créditeurs,41910000,419,0,Receivable,Asset,
"Clients - Groupe, avances et acomptes reçus",Clients créditeurs,41920000,419,0,Receivable,Asset,
"Clients, dettes pour emballages et matériels consignés",Clients créditeurs,41940000,419,0,Receivable,Asset,
"Rabais, Remises, Ristournes et autres avoirs à accorder",Clients créditeurs,41980000,419,0,Receivable,Asset,
PERSONNEL,Comptes de tiers,42,Classe 4,1,,Asset,
"Personnel, avances et acomptes",PERSONNEL,421,42,1,,Asset,
"Personnel, avances","Personnel, avances et acomptes",42110000,421,0,,Asset,
"Personnel, acomptes","Personnel, avances et acomptes",42120000,421,0,,Asset,
Frais avancés et fournitures au personnel,"Personnel, avances et acomptes",42130000,421,0,,Asset,
"Personnel, rémunérations dues",PERSONNEL,42200000,42,0,,Asset,
"Personnel, oppositions, saisies-arrêts",PERSONNEL,423,42,1,,Asset,
"Personnel, oppositions","Personnel, oppositions, saisies-arrêts",42310000,423,0,,Asset,
"Personnel, saisies-arrêts","Personnel, oppositions, saisies-arrêts",42320000,423,0,,Asset,
"Personnel, avis à tiers détenteur","Personnel, oppositions, saisies-arrêts",42330000,423,0,,Asset,
"Personnel, œuvres sociales internes",PERSONNEL,424,42,1,,Asset,
Assistance médicale,"Personnel, œuvres sociales internes",42410000,424,0,,Asset,
Allocations familiales,"Personnel, œuvres sociales internes",42420000,424,0,,Asset,
Organismes sociaux rattachés à l’entreprise,"Personnel, œuvres sociales internes",42450000,424,0,,Asset,
Autres œuvres sociales internes,"Personnel, œuvres sociales internes",42480000,424,0,,Asset,
Représentants du personnel,PERSONNEL,425,42,1,,Asset,
Délégués du personnel,Représentants du personnel,42510000,425,0,,Asset,
"Syndicats et Comités d’entre-prises, d’Établissement",Représentants du personnel,42520000,425,0,,Asset,
Autres représentants du personnel,Représentants du personnel,42580000,425,0,,Asset,
"Personnel, participation aux bénéfices",PERSONNEL,42600000,42,0,,Asset,
Personnel - dépôts,PERSONNEL,42700000,42,0,,Asset,
"Personnel, charges à payer et produits à recevoir",PERSONNEL,428,42,1,,Asset,
Dettes provisionnées pour congés à payer,"Personnel, charges à payer et produits à recevoir",42810000,428,0,,Asset,
Autres charges à payer,"Personnel, charges à payer et produits à recevoir",42860000,428,0,,Asset,
Produits à recevoir,"Personnel, charges à payer et produits à recevoir",42870000,428,0,,Asset,
Organismes sociaux,Comptes de tiers,43,Classe 4,1,Tax,Liability,
Sécurité sociale,Organismes sociaux,431,43,1,Tax,Liability,
Prestations familiales,Sécurité sociale,43110000,431,0,Tax,Liability,
Accidents de travail,Sécurité sociale,43120000,431,0,Tax,Liability,
Caisse de retraite obligatoire,Sécurité sociale,43130000,431,0,Tax,Liability,
Caisse de retraite facultative,Sécurité sociale,43140000,431,0,Tax,Liability,
Autres cotisations sociales,Sécurité sociale,43180000,431,0,Tax,Liability,
Caisses de retraite complémentaire,Organismes sociaux,43200000,43,0,Tax,Liability,
Autres organismes sociaux,Organismes sociaux,433,43,1,Tax,Liability,
Mutuelle,Autres organismes sociaux,43310000,433,0,Tax,Liability,
T.V.A. facturée sur production livrée à soi-même,Autres organismes sociaux,43340000,433,0,Tax,Liability,
T.V.A. sur factures à établir,Autres organismes sociaux,43350000,433,0,Tax,Liability,
"Organismes sociaux, charges à payer et produits à recevoir",Organismes sociaux,438,43,1,Tax,Liability,
Charges sociales sur gratifications à payer,"Organismes sociaux, charges à payer et produits à recevoir",43810000,438,0,Tax,Liability,
Charges sociales sur congés à payer,"Organismes sociaux, charges à payer et produits à recevoir",43820000,438,0,Tax,Liability,
Autres charges à payer,"Organismes sociaux, charges à payer et produits à recevoir",43860000,438,0,Tax,Liability,
Produits à recevoir,"Organismes sociaux, charges à payer et produits à recevoir",43870000,438,0,Tax,Liability,
État et collectivités publiques,Comptes de tiers,44,Classe 4,1,Tax,Liability,
État et collectivités publiques,Comptes de tiers,44000,Classe 4,0,Tax,Liability,
